symbol,decision_i,decision_time,window_start_i,window_start_time,window_len,conf,x1n,y1n,x2n,y2n,core_start_i,core_end_i,core_mid_i,core_start_time,core_end_time,core_mid_time,predicted_core_bars,decision_delay_bars,event_id,raw_detection_count,event_conf_max,event_decision_first,event_decision_last,window_lengths_seen
AVNT_USDT_SWAP,374,2026-05-03T00:45:00+00:00,360,2026-05-02T21:15:00+00:00,15,0.5852994322776794,0.48431915044784546,0.4003618061542511,0.8090888261795044,0.6092338562011719,367,371,369.0,2026-05-02T23:00:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:30:00+00:00,5,3,d7745ea744092e4c,48,0.7314594388008118,2026-05-03T00:45:00+00:00,2026-05-03T02:00:00+00:00,"[13, 14, 15, 16, 17, 18, 19]"
ENSO_USDT_SWAP,374,2026-05-03T00:45:00+00:00,359,2026-05-02T21:00:00+00:00,16,0.410274863243103,0.5099489092826843,0.20362074673175812,0.819015383720398,0.6637521982192993,367,371,369.0,2026-05-02T23:00:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:30:00+00:00,5,3,86b08c1c774d3864,38,0.5713070034980774,2026-05-03T00:45:00+00:00,2026-05-03T02:15:00+00:00,"[12, 14, 15, 16, 17, 18, 19]"
HOME_USDT_SWAP,374,2026-05-03T00:45:00+00:00,356,2026-05-02T20:15:00+00:00,19,0.2951565980911255,0.4309191107749939,0.33434438705444336,0.7876530885696411,0.489399790763855,364,370,367.0,2026-05-02T22:15:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:00:00+00:00,7,4,c212f90a0ac0ecde,2,0.2951565980911255,2026-05-03T00:45:00+00:00,2026-05-03T01:00:00+00:00,[19]
MAGIC_USDT_SWAP,374,2026-05-03T00:45:00+00:00,357,2026-05-02T20:30:00+00:00,18,0.34114134311676025,0.4803580641746521,0.46551233530044556,0.834366500377655,0.5635050535202026,365,371,368.0,2026-05-02T22:30:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:15:00+00:00,7,3,0591e26a22caecc0,28,0.6180658340454102,2026-05-03T00:45:00+00:00,2026-05-03T02:00:00+00:00,"[14, 15, 16, 17, 18, 19]"
MOODENG_USDT_SWAP,374,2026-05-03T00:45:00+00:00,357,2026-05-02T20:30:00+00:00,18,0.38538026809692383,0.49413976073265076,0.3731813132762909,0.834708034992218,0.6610715985298157,365,371,368.0,2026-05-02T22:30:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:15:00+00:00,7,3,83a31db8c3b60498,24,0.7256622910499573,2026-05-03T00:45:00+00:00,2026-05-03T01:45:00+00:00,"[14, 15, 16, 17, 18, 19]"
PUMP_USDT_SWAP,374,2026-05-03T00:45:00+00:00,357,2026-05-02T20:30:00+00:00,18,0.37670934200286865,0.49028244614601135,0.41273635625839233,0.8375091552734375,0.6417281031608582,365,371,368.0,2026-05-02T22:30:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:15:00+00:00,7,3,eea02f6903b2458e,27,0.5859385132789612,2026-05-03T00:45:00+00:00,2026-05-03T01:45:00+00:00,"[14, 15, 16, 17, 18, 19]"
STABLE_USDT_SWAP,374,2026-05-03T00:45:00+00:00,356,2026-05-02T20:15:00+00:00,19,0.2575589418411255,0.5115720629692078,0.49076974391937256,0.8441494703292847,0.6212829947471619,365,371,368.0,2026-05-02T22:30:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:15:00+00:00,7,3,fdf31b9aaf3fc5b4,2,0.28837186098098755,2026-05-03T00:45:00+00:00,2026-05-03T01:00:00+00:00,[19]
BLUR_USDT_SWAP,375,2026-05-03T01:00:00+00:00,362,2026-05-02T21:45:00+00:00,14,0.4553438127040863,0.5273657441139221,0.2034366875886917,0.7950887084007263,0.7364063262939453,369,372,370.5,2026-05-02T23:30:00+00:00,2026-05-03T00:15:00+00:00,2026-05-02T23:45:00+00:00,4,3,a6fe89824fbee1ab,23,0.5663703680038452,2026-05-03T01:00:00+00:00,2026-05-03T02:30:00+00:00,"[14, 15, 16, 17, 18, 19]"
HYPE_USDT_SWAP,375,2026-05-03T01:00:00+00:00,357,2026-05-02T20:30:00+00:00,19,0.281782865524292,0.4298240542411804,0.48260945081710815,0.7915956974029541,0.5651707649230957,365,371,368.0,2026-05-02T22:30:00+00:00,2026-05-03T00:00:00+00:00,2026-05-02T23:15:00+00:00,7,4,46d52ccbda351196,17,0.4965457320213318,2026-05-03T01:00:00+00:00,2026-05-03T02:00:00+00:00,"[14, 15, 16, 17, 18, 19]"
KMNO_USDT_SWAP,375,2026-05-03T01:00:00+00:00,359,2026-05-02T21:00:00+00:00,17,0.43467721343040466,0.4476192891597748,0.390744149684906,0.8216231465339661,0.7409481406211853,366,372,369.0,2026-05-02T22:45:00+00:00,2026-05-03T00:15:00+00:00,2026-05-02T23:30:00+00:00,7,3,c190b496ed730fb9,15,0.4464591145515442,2026-05-03T01:00:00+00:00,2026-05-03T02:00:00+00:00,"[15, 16, 17, 18, 19]"
LINEA_USDT_SWAP,375,2026-05-03T01:00:00+00:00,359,2026-05-02T21:00:00+00:00,17,0.3608566224575043,0.45214223861694336,0.4465378224849701,0.8221431970596313,0.5804277658462524,366,372,369.0,2026-05-02T22:45:00+00:00,2026-05-03T00:15:00+00:00,2026-05-02T23:30:00+00:00,7,3,6acc9d53705071a8,29,0.6739494800567627,2026-05-03T01:00:00+00:00,2026-05-03T02:15:00+00:00,"[14, 15, 16, 17, 18, 19]"
NMR_USDT_SWAP,375,2026-05-03T01:00:00+00:00,358,2026-05-02T20:45:00+00:00,18,0.3495313227176666,0.4902210235595703,0.4611968994140625,0.8345066905021667,0.559545636177063,366,372,369.0,2026-05-02T22:45:00+00:00,2026-05-03T00:15:00+00:00,2026-05-02T23:30:00+00:00,7,3,b9fd3cd96fe1ae47,30,0.6560962200164795,2026-05-03T01:00:00+00:00,2026-05-03T02:00:00+00:00,"[14, 15, 16, 17, 18, 19]"
ONT_USDT_SWAP,375,2026-05-03T01:00:00+00:00,358,2026-05-02T20:45:00+00:00,18,0.2751442790031433,0.48826727271080017,0.39908111095428467,0.8370949029922485,0.5448131561279297,366,372,369.0,2026-05-02T22:45:00+00:00,2026-05-03T00:15:00+00:00,2026-05-02T23:30:00+00:00,7,3,2f0850ccd4c2c8a1,38,0.6599150896072388,2026-05-03T01:00:00+00:00,2026-05-03T02:00:00+00:00,"[13, 14, 15, 16, 17, 18, 19]"
SIGN_USDT_SWAP,375,2026-05-03T01:00:00+00:00,361,2026-05-02T21:30:00+00:00,15,0.5235296487808228,0.4772147536277771,0.37376868724823,0.8101478815078735,0.6272903680801392,368,372,370.0,2026-05-02T23:15:00+00:00,2026-05-03T00:15:00+00:00,2026-05-02T23:45:00+00:00,5,3,77ce1c8a956a3f5e,35,0.5235296487808228,2026-05-03T01:00:00+00:00,2026-05-03T02:15:00+00:00,"[14, 15, 16, 17, 18, 19]"
ZAMA_USDT_SWAP,375,2026-05-03T01:00:00+00:00,360,2026-05-02T21:15:00+00:00,16,0.3372008800506592,0.5054627060890198,0.39141079783439636,0.867491602897644,0.5818532705307007,368,373,370.5,2026-05-02T23:15:00+00:00,2026-05-03T00:30:00+00:00,2026-05-02T23:45:00+00:00,6,2,8e14205258638219,29,0.5301740169525146,2026-05-03T01:00:00+00:00,2026-05-03T02:45:00+00:00,"[16, 17, 18, 19]"
AERO_USDT_SWAP,376,2026-05-03T01:15:00+00:00,362,2026-05-02T21:45:00+00:00,15,0.3403421640396118,0.4751726984977722,0.4034200608730316,0.8285835385322571,0.5590983629226685,369,374,371.5,2026-05-02T23:30:00+00:00,2026-05-03T00:45:00+00:00,2026-05-03T00:15:00+00:00,6,2,82a8e0958e4760e8,54,0.6850460171699524,2026-05-03T01:15:00+00:00,2026-05-03T02:45:00+00:00,"[12, 13, 14, 15, 16, 17, 18, 19]"
